Date,Player,Opp,Shift_Count,Total_TOI,EV_TOI,PP_TOI,SH_TOI,Lineup,Score_For,Score_Against,Result,Goals,Assists,Points,+/-,SOG,Att_Blocked,Missed_Shots,Hits,Giveaways,Takeaways,Blocked_Shots,Faceoff_Won,Faceoff_Loss,Faceoff_Pct,xG,xG/60,Corsi_%,Fenwick_%,Rebounds_Created_Above_x,On-Ice Goal Dif,On-Ice xG Dif
11/7/24,Kucherov,PHI,27,26.08,23.05,3.03,0,12-6,1,2,SOL,1,0,1,1,4,2,1,1,3,0,0,0,0,,0.5,1.07,47.6,46.9,-0.3,1,0.1
11/5/24,Kucherov,STL,23,25.93,20.42,5.52,0,12-6,2,3,L,0,2,2,0,3,3,1,1,2,2,0,0,0,,0.1,0.2,70,67.5,-0.2,0,0.8
11/3/24,Kucherov,WPG,25,22.05,19.33,3.22,0,12-6,4,7,L,1,1,2,-1,4,0,2,3,2,0,0,0,0,,0.3,0.91,63.2,60,-0.3,0,-0.3
11/1/24,Point,MIN,24,23.17,18.65,4.52,0,12-6,3,5,L,1,0,1,-1,3,3,0,0,0,0,0,4,9,31,0.9,2.27,70,67.9,-0.2,1,1.3
11/1/24,Kucherov,MIN,24,22.68,18.53,4.15,0,12-6,3,5,L,0,1,1,-3,8,4,0,0,1,1,1,0,0,,0.4,1.01,69.1,64.5,0.6,-1,0.7
10/30/24,Point,COL,22,18.17,13.38,4.73,0.05,12-6,5,2,W,0,2,2,3,0,2,1,0,0,0,0,10,2,83,0.1,0.2,60.6,61.9,1,3,0.2
10/30/24,Kucherov,COL,20,16.6,12.42,4.18,0,12-6,5,2,W,1,2,3,2,2,3,2,0,2,0,1,0,0,,0.1,0.36,55.9,55,0.8,2,0
10/28/24,Point,NSH,23,22.5,17.55,4.9,0.05,12-6,3,2,W,1,1,2,2,3,1,1,0,0,0,0,10,11,48,0.4,1.09,68.4,60,-0.3,2,1.5
10/28/24,Kucherov,NSH,23,21.73,16.78,4.95,0,12-6,3,2,W,0,0,0,0,3,1,1,0,2,0,0,0,0,,0.4,1.16,66.7,58.8,-0.2,0,1.5
10/26/24,Point,WSH,21,17.13,15.55,1.58,0,12-6,3,0,W,1,0,1,1,1,2,0,0,0,0,0,5,7,42,0.2,0.58,42.1,37.5,-0.1,1,0.2
10/26/24,Kucherov,WSH,24,18.85,16.12,2.73,0,12-6,3,0,W,0,1,1,1,0,2,1,0,0,0,0,0,0,,0,0.03,41.9,35.7,0,1,0.1
10/24/24,Point,MIN,21,19.98,18.5,1.48,0,12-6,2,4,L,0,0,0,-1,0,1,0,1,0,2,2,6,4,60,0,0,45.7,47.4,0,-1,-1.9
10/24/24,Kucherov,MIN,22,20.95,19.4,1.55,0,12-6,2,4,L,1,0,1,0,1,2,0,1,5,0,0,0,0,,0.1,0.15,51.4,60,-0.1,0,-1.7
10/22/24,Point,NJD,22,18.28,16.58,1.7,0,12-6,8,5,W,1,0,1,1,2,2,1,1,1,0,0,3,10,23,1,3.22,59.2,65,-0.2,3,1.8
10/22/24,Kucherov,NJD,22,18,16.3,1.7,0,12-6,8,5,W,0,2,2,0,3,1,1,0,0,0,1,0,0,,0.1,0.33,58.3,65,-0.2,2,1.8
10/21/24,Point,TOR,20,21.92,14.38,7.53,0,12-6,2,5,L,1,0,1,-1,1,1,0,0,0,0,0,11,3,79,0.6,1.71,52.5,53.3,0,0,-0.2
